"Eastern Conference","W","L","W/L%","GB","PS/G","PA/G","SRS"
"Miami Heat* (1) ","53","29",".646","—","110.0","105.6","4.23"
"Milwaukee Bucks* (2) ","51","31",".622","2.0","115.5","112.1","3.22"
"Boston Celtics* (3) ","51","31",".622","2.0","111.8","104.5","7.02"
"Philadelphia 76ers* (4) ","51","31",".622","2.0","109.9","107.3","2.57"
"Toronto Raptors* (5) ","48","34",".585","5.0","109.4","107.1","2.38"
"Chicago Bulls* (6) ","46","36",".561","7.0","111.6","112.0","-0.38"
"Brooklyn Nets (7) ","44","38",".537","9.0","112.9","112.1","0.82"
"Cleveland Cavaliers (8) ","44","38",".537","9.0","107.8","105.7","2.04"
"Atlanta Hawks (9) ","43","39",".524","10.0","113.9","112.4","1.55"
"Charlotte Hornets (10) ","43","39",".524","10.0","115.3","114.9","0.53"
"New York Knicks (11) ","37","45",".451","16.0","106.5","106.6","-0.01"
"Washington Wizards (12) ","35","47",".427","18.0","108.6","112.0","-3.23"
"Indiana Pacers (13) ","25","57",".305","28.0","111.5","114.9","-3.26"
"Detroit Pistons (14) ","23","59",".280","30.0","104.8","112.5","-7.36"
"Orlando Magic (15) ","22","60",".268","31.0","104.2","112.2","-7.67"
