"Eastern Conference","W","L","W/L%","GB","PS/G","PA/G","SRS"
"Milwaukee Bucks (1) ","51","20",".718","—","116.3","112.4","3.87"
"Philadelphia 76ers (2) ","48","22",".686","2.5","115.5","110.5","4.84"
"Boston Celtics (3) ","49","23",".681","2.5","117.6","112.3","5.23"
"Cleveland Cavaliers (4) ","45","28",".616","7.0","112.2","106.6","5.58"
"New York Knicks (5) ","42","30",".583","9.5","115.1","112.2","3.09"
"Brooklyn Nets (6) ","39","32",".549","12.0","113.4","112.8","0.80"
"Miami Heat (7) ","39","34",".534","13.0","109.0","109.5","-0.34"
"Atlanta Hawks (8) ","35","36",".493","16.0","117.4","117.6","-0.35"
"Toronto Raptors (9) ","35","37",".486","16.5","112.9","112.1","0.94"
"Chicago Bulls (10) ","33","37",".471","17.5","113.5","112.6","1.04"
"Indiana Pacers (11) ","32","39",".451","19.0","115.9","118.3","-2.21"
"Washington Wizards (12) ","32","39",".451","19.0","112.8","113.5","-0.49"
"Orlando Magic (13) ","29","43",".403","22.5","111.5","114.4","-2.84"
"Charlotte Hornets (14) ","22","50",".306","29.5","111.2","117.5","-5.96"
"Detroit Pistons (15) ","16","56",".222","35.5","110.9","118.5","-7.01"
